what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350795531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350834671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350838125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350855390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350861046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350878953
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350886578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1305350887875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1305350888343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1305350888984
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1305350890062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350895500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350917125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305350920812
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351282296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351283406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351285796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351292703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351292703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351292859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351298812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351331062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351331062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351331296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351336843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351346671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351351000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351351359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351352250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351352406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351369500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351443937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351450000
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1305351542843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351549546
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351549796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305351562406
